title,category,focus,reps,time,intensity,equipment,imgLink,resources,description
arnold press,indoor,shoulders,10,0,1,dumbbells,https://cdn.pixabay.com/photo/2016/12/04/22/15/fitness-1882721_1280.jpg,https://www.youtube.com/watch?v=6Z15_WdXmVw,This is a shoulder press that involves rotating the arms from a pronated to a supinated position
back extension,indoor,back,10,0,2,bench,https://www.aleanlife.com/wp-content/uploads/2014/08/hyperextension-exercise-1200x720.jpg,https://www.youtube.com/watch?v=ph3pddpKzzw,"This is a lower back exercise in which the body is bent at the waist, typically over a hyperextension bench, exercise ball or other equipment"
bench press,gym,chest,5,0,2,"barbell, bench",https://images.pexels.com/photos/3837781/pexels-photo-3837781.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://www.youtube.com/watch?v=gRVjAtPip0Y,This is an exercise in which the weight is pressed upwards from a lying position on a bench
bicep curl,indoor,arms,15,0,1,dumbbells,http://i3.ytimg.com/vi/uO_CNYidOw0/maxresdefault.jpg,https://www.youtube.com/watch?v=uO_CNYidOw0,"This is an exercise in which weight is pulled using the biceps muscle in a ""curling"" movement of the elbow"
burpee,outdoor,full,10,0,1,,https://cdn.pixabay.com/photo/2016/09/21/23/08/sport-1685977_1280.jpg,https://www.youtube.com/watch?v=dZgVxmf6jkA,"This is a cardio exercise which requires squatting down, kicking the feet back and extending the body, bringing the feet back in, then jumping straight up"
cable crossover,gym,chest,15,0,2,machine,https://upload.wikimedia.org/wikipedia/commons/8/8f/Personal_Training_at_a_Gym_-_Cable_Crossover.JPG,https://www.youtube.com/watch?v=aoP0s_MjN-g,"This is an exercise in which the arms pull on cables, in an arc, until they meet in front of the chest. "
calf raise,indoor,legs,15,0,0,,https://images.pexels.com/photos/3756042/pexels-photo-3756042.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://www.youtube.com/watch?v=UV8gOrHmuKc,"This is an exercise in which the body is pressed up solely through movement of the ankles, thus activating the calf muscles"
clean,gym,shoulders,5,0,2,barbell,http://i3.ytimg.com/vi/EKRiW9Yt3Ps/maxresdefault.jpg,https://www.youtube.com/watch?v=EKRiW9Yt3Ps,The lifter moves a barbell from the floor to a racked position across the deltoids
clean and jerk,gym,shoulders,5,0,2,barbell,https://images.pexels.com/photos/841130/pexels-photo-841130.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://www.youtube.com/watch?v=9HyWjAk7fhY,"The clean and jerk involves first lifting a barbell from the floor to the deltoids (clean), and then raising the barbell above the head, finishing with straight arms and legs (jerk)"
crunch,indoor,torso,15,0,0,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Abdominal_Exercise.jpg/1280px-Abdominal_Exercise.jpg,https://www.youtube.com/watch?v=4hmQA3snTyk,An exercise in which the shoulders are lifted off the ground by contracting the abdominal muscles
deadlift,gym,torso,5,0,1,barbell,https://images.pexels.com/photos/703014/pexels-photo-703014.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://www.youtube.com/watch?v=r4MzxtBKyNE,This is an exercise in which weight is pulled up by extending the hips and knee
bench dip,gym,arms,10,0,2,bench,http://i3.ytimg.com/vi/0326dy_-CzM/maxresdefault.jpg,https://www.youtube.com/watch?v=0326dy_-CzM,This is an exercise in which the body is hanging and supported by both arms holding on to parallel bars or other supporting structures. The body weight is lifted by pressing on the arms.
front raise,indoor,shoulders,15,0,0,dumbbells,http://i3.ytimg.com/vi/sOcYlBI85hc/maxresdefault.jpg,https://www.youtube.com/watch?v=sOcYlBI85hc,"This is a shoulder exercise in which arms are lifted in an arc in front of the body, with the elbow angle kept constant"
high knees,outdoor,legs,15,0,0,,http://i3.ytimg.com/vi/bZUfaLxJ36M/maxresdefault.jpg,https://www.youtube.com/watch?v=oDdkytliOqE,This is a cardio exercise which requires running by bringing the knees high so that the hip makes at least a right angle
hip extension,gym,glutes,10,0,1,machine,http://i3.ytimg.com/vi/0DWMi7dA39Y/maxresdefault.jpg,https://www.youtube.com/watch?v=0DWMi7dA39Y,This is an exercise in which weight is pulled by extending the hip
hip raise,indoor,glutes,15,0,1,yoga mat,http://i3.ytimg.com/vi/fDP6O_aJpDg/maxresdefault.jpg,https://www.youtube.com/watch?v=fDP6O_aJpDg,This is an exercise in which the hip is raised off the ground by contracting the abdominal muscles. The legs are kept in a fixed position.
jm press,gym,arms,5,0,2,"barbell, bench",https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Bench_press_1.jpg/1280px-Bench_press_1.jpg,https://www.youtube.com/watch?v=fkHmqXirlho,"This is a triceps exercise in which weight is pressed up from the chest mainly through an extension of the elbow, thus focusing on the triceps"
jumping jack,outdoor,full,15,0,1,,https://images.pexels.com/photos/6455594/pexels-photo-6455594.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://www.youtube.com/watch?v=c4DAnQ6DtF8,This is a cardio exercise which requires jumping between a position with arms to the side and legs together to a second position with arms straight above the head and legs wide apart
